code;libelle;niveau;code_parent;code_famille;libelle_famille;section;categorie_principale;categorie_metier;profil_formulaire;ordre_affichage
239.999;Autres acquisitions, constructions et grosses réparations d’immeubles;ARTICLE;239;239;AUTRES ACQUISITIONS, CONSTRUCTIONS ET GROSSES REPARATIONS D?IMMEUBLES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;239999
241.001;Agrafeuse géante;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241001
241.002;Antenne parabolique et décodeur;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241002
241.003;Aquarium de bureau et de logement;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241003
241.004;Armoire;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241004
241.005;Aspirateur;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241005
241.006;Bac à fiches;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241006
241.007;Banc;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241007
241.008;Bibliothèque;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241008
241.009;Bouteille de gaz;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241009
241.010;Buffet;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241010
241.011;Bureau;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241011
241.012;Cafetière multifonction;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241012
241.013;Caisson;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241013
241.014;Canapé ou Sofa;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241014
241.015;Cantine métallique;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241015
241.016;Chaise;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241016
241.017;Chariot de transport;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241017
241.018;Chauffe-eau;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241018
241.019;Chevalet de Conférence;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241019
241.021;Climatiseur;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241021
241.022;Coffre-fort;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241022
241.023;Coffret;ARTICLE;241;241;MOBILIER ET MATERIEL DE BUREAU ET DE LOGEMENT;IMMOBILISATION;MOBILIER ET BUREAU;MOBILIER;mobilier;241023
